Area Codes,All Ages
E02005785,16439.00
E02006643,16143.00
E02005947,16055.00
E02006911,15622.00
E02003475,15015.00
E02002226,15013.00
E02000780,14891.00
E02004565,14881.00
E02004913,14828.00
E02003725,14821.00
E02006900,14788.00
E02000123,14760.00
E02006901,14420.00
E02000769,14397.00
E02000968,14317.00
E02006882,14225.00
E02005952,14157.00
E02002557,13960.00
E02006860,13958.00
E02000781,13834.00
E02002221,13668.00
E02006922,13665.00
E02005649,13651.00
E02006691,13557.00
E02001424,13551.00
E02000257,13544.00
W02000420,13479.00
E02005051,13380.00
E02005683,13314.00
E02006925,13306.00
E02002893,13292.00
E02003267,13278.00
E02006800,13257.00
E02001071,13241.00
E02000314,13206.00
E02002520,13167.00
E02006660,13124.00
E02005753,13121.00
E02003313,13110.00
E02003539,13103.00
E02005730,13090.00
E02002843,13080.00
E02001857,12940.00
E02002184,12904.00
E02001736,12891.00
E02006525,12872.00
E02006924,12863.00
E02000365,12836.00
E02001730,12829.00
E02006296,12828.00
E02000274,12813.00
E02002853,12790.00
E02000891,12788.00
E02002231,12770.00
E02001052,12761.00
E02004345,12751.00
E02004670,12720.00
E02005236,12712.00
E02000756,12707.00
E02003744,12687.00
E02001922,12677.00
E02005579,12638.00
E02005151,12638.00
E02004672,12638.00
E02002186,12630.00
E02004989,12623.00
E02002715,12574.00
E02004999,12571.00
E02002835,12565.00
E02005597,12562.00
E02006906,12553.00
E02006604,12528.00
E02001141,12525.00
E02000964,12522.00
E02006872,12508.00
E02005121,12492.00
E02005264,12482.00
E02000371,12473.00
E02003413,12462.00
E02006861,12453.00
E02006852,12389.00
E02005704,12388.00
E02002849,12387.00
E02002610,12379.00
E02000266,12357.00
E02005455,12342.00
E02006870,12333.00
E02005107,12320.00
E02004233,12305.00
E02001652,12300.00
E02004629,12292.00
E02001632,12280.00
E02003034,12262.00
E02002065,12238.00
W02000418,12224.00
E02001729,12219.00
E02001304,12215.00
E02003070,12213.00
E02006186,12210.00
E02003415,12196.00
E02001731,12190.00
E02004314,12188.00
E02006201,12183.00
E02003414,12173.00
E02003688,12173.00
E02005004,12172.00
E02004592,12167.00
E02000759,12149.00
E02006894,12137.00
E02006868,12134.00
E02002068,12115.00
E02005720,12109.00
E02000156,12097.00
E02006884,12087.00
E02005217,12083.00
E02003837,12065.00
E02002190,12045.00
E02004003,12034.00
E02000117,12028.00
E02002201,12027.00
E02001172,11994.00
E02002064,11989.00
E02004595,11979.00
E02001876,11959.00
E02000575,11952.00
E02002241,11950.00
E02002329,11944.00
E02001066,11937.00
E02000764,11933.00
E02003027,11926.00
E02004642,11918.00
E02001070,11915.00
E02003013,11914.00
E02002844,11910.00
E02003734,11895.00
E02006871,11891.00
E02006909,11888.00
E02006000,11888.00
E02004193,11879.00
E02005444,11876.00
E02000072,11851.00
E02004945,11843.00
E02001726,11838.00
E02001733,11837.00
E02003859,11826.00
E02005215,11820.00
E02006018,11816.00
E02002808,11813.00
E02003310,11813.00
E02000543,11812.00
E02003275,11811.00
E02001981,11801.00
E02003399,11784.00
E02000809,11782.00
E02003737,11778.00
E02005980,11767.00
E02003263,11763.00
E02002058,11749.00
E02003928,11734.00
E02004066,11726.00
E02004755,11710.00
E02001177,11701.00
E02000263,11689.00
E02004580,11685.00
E02001540,11673.00
E02005213,11659.00
E02005588,11659.00
E02004666,11656.00
E02002927,11650.00
W02000421,11650.00
E02000369,11638.00
E02005239,11631.00
E02005892,11631.00
E02006150,11628.00
E02000008,11616.00
E02000757,11616.00
E02003278,11610.00
W02000202,11610.00
E02006523,11608.00
E02002496,11607.00
E02001076,11592.00
E02002856,11587.00
W02000250,11582.00
E02001074,11579.00
E02001870,11577.00
E02003541,11570.00
E02004707,11560.00
E02006650,11557.00
E02005445,11532.00
E02001915,11520.00
E02003577,11502.00
E02003150,11501.00
E02003410,11500.00
E02003422,11490.00
E02005507,11475.00
E02005589,11469.00
E02004272,11452.00
E02004303,11451.00
E02003477,11442.00
E02000227,11441.00
E02001377,11431.00
E02002790,11426.00
E02004541,11426.00
E02006270,11426.00
E02002281,11417.00
E02005439,11415.00
E02000047,11404.00
E02004223,11402.00
E02002204,11396.00
E02000279,11391.00
E02000520,11367.00
E02006498,11366.00
E02004681,11359.00
E02001521,11355.00
E02005808,11354.00
E02000360,11333.00
E02002163,11321.00
E02006286,11320.00
E02006529,11299.00
E02001715,11294.00
E02001307,11289.00
E02006886,11282.00
E02002548,11280.00
E02001541,11274.00
E02005346,11263.00
E02004654,11260.00
E02003284,11255.00
E02003292,11235.00
E02006589,11221.00
E02003291,11211.00
E02000055,11210.00
E02006492,11208.00
E02000649,11205.00
E02002848,11203.00
E02003747,11201.00
E02001614,11194.00
E02006233,11190.00
E02006010,11189.00
E02003701,11181.00
E02006528,11177.00
E02004656,11174.00
E02004841,11170.00
E02004575,11164.00
E02000924,11164.00
E02003293,11161.00
W02000072,11152.00
E02006869,11150.00
W02000398,11149.00
E02005636,11147.00
E02000265,11138.00
E02000921,11109.00
E02005950,11093.00
E02000358,11083.00
E02002749,11080.00
E02003288,11074.00
E02006903,11073.00
E02004611,11064.00
E02005129,11063.00
E02003753,11058.00
E02005080,11057.00
E02002890,11056.00
E02005607,11051.00
E02002821,11046.00
E02006470,11041.00
E02005645,11040.00
E02003411,11040.00
E02005481,11034.00
E02005155,11028.00
E02000549,11027.00
E02005123,11022.00
E02000319,11021.00
E02002659,11017.00
W02000282,11008.00
E02002148,10993.00
E02000060,10993.00
E02001069,10991.00
E02004513,10984.00
E02006512,10983.00
E02000911,10979.00
E02002599,10968.00
E02002694,10966.00
E02003608,10966.00
E02003483,10966.00
E02003043,10965.00
E02000786,10964.00
